"start","end","Johnson B Room","Peale A","Peale B","Peale C","Promenade","Ruth Room","Stadium 1 Room","Stadium 2 Room","Stadium 3 Room","University 1","Johnson A Room","Harbor 1 Room","Latrobe Room","Stadium 5 Room","Stadium 4 Room"
2021-11-07 08:00:00,2021-11-07 08:20:00,"Diet Of Crevalle Jack (<U+0001D60A><U+0001D622><U+0001D633><U+0001D622><U+0001D62F><U+0001D639> <U+0001D629><U+0001D62A><U+0001D631><U+0001D631><U+0001D630><U+0001D634>) In The North-Central Gulf Of Mexico","Emerging Methods In Analyses Of Continually Growing Structures (Cogs) In Marine Mammals","Decadal Changes In Reef Fish Diversity In The Philippines","Comparing Historical And Contemporary Cisco Morphology","Untangling The Effects Of Hydrologic Change On Trout In Wisconsin Streams","Addressing Coldwater Temperature Impairments In A Changing Climate","Scale V.2021: Identifying Current Issues That Address Future Needs For Making Scale Choices That …","Evaluating Movement Of Silver Carp In An Oxbow Lake To Inform Barrier Placement And Operation","Using A Fishery-Dependent Research Fleet Approach To Characterize The Composition Of Black Sea Ba…","Introduction","-","-","-","-","-"
2021-11-07 08:20:00,2021-11-07 08:40:00,"Crevalle Jack (Caranx Hippos) Age And Growth In The Gulf Of Mexico","Inferring Life History Variation In Spatial, Trophic And Physiological Ecology Through Compound-S…","Implications Of Community-Based Management Of Marine Reserves In The Philippines For Reef Fish Co…","An Adaptive Management Approach To Restoring Paddlefish In Oklahoma Reservoirs","Scale Dependencies Of Intrinsic Climate Sensitivity For Freshwater Fishes Of The United States","Thermal Risk Assessment For Tailwaters In A Changing Climate","Considering Questions Of Scale In Research: Examples From Lotic, Lentic, And Coastal Systems","-","Electronic Technologies In The United States Atlantic Pelagic Longline Fishery","Keynote","Quantifying How Orientation Affects Target Strengths Of Silver Carp (Hypophthalmichthys Molitrix)…","-","-","-","-"
2021-11-07 08:40:00,2021-11-07 09:00:00,"The Bigger, Older, Fatter, And More Fecund Female (Bofff) Factor In Greater Amberjack","Reconstructed Trophic And Geographic Histories Of Reef-Dwelling And Migratory Fishes Based On Eye…","Diversity Patterns Of Subtropical Fish Assemblages On Artificial And Natural Reefs In The Eastern…","Distribution Models For Native Great Lakes Fishes To Inform Coastal Habitat Restoration","The Effect Of Runoff Induced Rapid Temperature Change On The Physiological Performances Of Blackn…","Water Temperature As It Relates To Minimum Flows On A Large Regulated River","Landscape-Scale Trends In Stream Fish Data Collection Locations Across The U.s.: Challenges And O…","-","Crabs Are Like Fish, Only Different","Keynote","Detection And Occupancy Probability Of Bigheaded Carp And Native Fish Larvae In The Upper Mississ…","-","-","-","-"
2021-11-07 09:00:00,2021-11-07 09:20:00,"Modeling The Energetic Implications Of Early Life Responses To Ocean Acidification In An Estuarin…","Stable Isotopes Of Sea Lamprey Lenses Used To Explore At Sea Behavior","Identifying Drivers Of Coral-Reef Fish Biomass In The Florida Keys To Assess Potential Management…","Wicked Problems And Messy Data: Assessing The Effects Of Zebra Mussels On Walleye Recruitment In …","Performance Consequences Of Thermal Adaptation In Geothermal Sticklebacks","Clean Water Act Tools To Address Thermal Impairments Of Cold Water Habitat","Barrier Removal And Remediation In The Great Lakes: Accounting For Scale In The Decision Process","-","Using Fishing Gears And Species Caught By Foreign Fleets To Understand Differential African Marin…","Fish Are Just Like Birds!(?)","Determining How Invasive Silver Carp (Hypophthalmichthys Molitrix) Influence Trophic Structure Of…","-","-","-","-"
2021-11-07 09:20:00,2021-11-07 09:40:00,"Quantifying The Response Of The Estuarine Nekton Community Following Restoration Of Coastal Wetla…","New Tools To Measure Restoration Success: Eye Lenses Archive Juvenile Habitat Use Of Adult Salmon…","Spatiotemporal Variation Of An Eastern Tropical Pacific Pelagic Vertebrate Community Assessed Wit…","Influence Of Blueback Herring, Alosa Aestivalis, In A Reservoir","Investigating The Effects Of Multiple Flow Regime Characteristics On Recruitment Of Age-1 Atlanti…","Multi-Model Evaluation Of Longitudinal Stream Temperature Gradient","Scaling Fish Passage Assessment; It’s Not Just A Local Matter","-","Time To Publish? Turnaround Times, Rejection Rates, And Impact Factors Of Journals In Fisheries S…","Forced Marriage Or Perfect Union? Over 20 Years Building And Maintaining Angler Engagement To Kee…","An Experimental Assessment Of Mollusk Vulnerability To Juvenile Black Carp Predation","-","-","-","-"
2021-11-07 10:00:00,2021-11-07 10:20:00,"Community Dynamics Of Estuarine Forage Fishes","Tracking Fish Dietary Changes In Response To Hypoxia Using The Elemental And Isotopic Composition…","Ocean Quahogs: A Glimpse Into The Population Structure Of The Longest-Lived Bivalve On Earth Usin…","-","Evaluating The Effectiveness Of Great Lakes Sea Lamprey Control Barriers In An Uncertain Climatic…","A Temperature Tmdl Implementation Guidance For Coldwater Designated Uses And Fisheries Resources","Uncertainty In Spatial Scaling: Revisiting Thresholds In Fisheries Data","-","Evaluating The Performance Of Methods Used To Estimate Growth Parameters From Subsampled Age Data","Texas Trash To Texas Treasure – Angler Involvement In Management And Research Of The Alligator Gar","Evaluating Alternative Common Carp Control Strategies In A Large, Dynamic, Open Ecosystem","-","-","-","-"
2021-11-07 10:20:00,2021-11-07 10:40:00,"Long-Term Shifts In The Fish And Macroinvertebrate Community In A Mid-Atlantic Estuary","Can Otolith Microchemistry Be Used To Quantify Fish Movement Downstream Of A Hydropeaking Dam?","Examining Spatial Heterogeneity Trends In Ocean Quahog Growth And Recruitment","Comparison Of Fishery-Dependent And Fishery-Independent Common Carp And Bigmouth Buffalo Mark-Rec…","Asynchronous Responses To Common Climate Forcing Among Brook Trout Populations In Cape Race, Newf…","Temperature Tmdl Development For Coldwater Designated Uses In Maryland","Review, Evaluation, And Reimagining The Landscape Of Practical Approaches To Spatial Scale: Where…","-","A Novel Bioeconomic Approach To Improve Allocation Processes For Living Marine Resources","Tournament Talks: Will Anglers Engage And Participate In Virtual Webinars?","Exploring Invasive Carp Reproduction In Small Rivers Of Illinois","-","-","-","-"
2021-11-07 10:40:00,2021-11-07 11:00:00,"Evaluating The Impacts Of Atlantic Striped Bass Harvest Control Rules On Their Prey, Atlantic Men…","Lifetime-Scale Red Grouper Ontogenetic Movement And Diet Shifts Using A Combination Of Traditiona…","Collaborative Modeling Of Eastern Oyster Management Options In The Chesapeake Bay, Maryland","Hierarchical Model To Predict Common Carp And Bigmouth Buffalo Abundance From Electrofishing Catc…","Can Columbia Basin Sockeye Salmon Adapt To Climate Change?","Development Of Maryland Coldwater Resources Mapping Tool","-","-","Evaluating How Complexity Of Alternative Stock Assessment Models Affects Perception Of Summer Flo…","Long-Term Relationship Building With Anglers: A Case Study With The Muskellunge Angling Community","-","-","-","-","-"
2021-11-07 11:00:00,2021-11-07 11:20:00,"Temporal Changes In The Reproductive Ecology Of The Estuarine Conguito Sea Catfish Are Related To…","Marked Recent Declines In Boron In Baltic Sea Cod Otoliths – A Bellwether Of Incipient Acidificat…","Fisheries Conflicts With Sand Dredging: Baselines And Early Geospatial Analysis","Gear Bias Of Low-Frequency Electrofishing For Sampling Blue Catfish Populations In Oklahoma Reser…","Thermal And Potential Climate Effects On Early Life Stages Of White Perch","Evaluation Of Landuse, Habitat And Water Quality For Modeling The Distribution Of Brook Trout In …","-","-","Application Of Geostatistics To Downscale Stratified Random Surveys: Precision And Bias Of Global…","Let's Talk About It: How Arkansas Game And Fish Commission’s Fisheries Division Changed The Messa…","-","-","-","-","-"
2021-11-07 11:20:00,2021-11-07 11:40:00,"Descender Devices Or Treat Tethers: Does Barotrauma Mitigation Increase Opportunities For Depreda…","Evaluating The Effects Of Three Alabama River Dams On Fish Movements Using Otolith Microchemistry","Research And Development Of A Replicable Evaluation Framework For Mpa Sustainable Finance","Technological Advances And Their Potential Influence On Table Rock Lake Crappie","How Will Changes In Extreme Precipitation Events Impact Eastern Oyster (Crassostrea Virginica) Ec…","Evaluating The Thermal Impact Of Small Ponds In Maryland Trout Watersheds","-","-","A Proposed Publicly Available Known-Age Fish Structure Repository","Growing Angler Engagement Through Cooperative Tagging Research","-","-","-","-","-"
